time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-31T23:59:46.930Z,-21.7289,168.9098,10,5.1,mb,,93,0.854,0.75,us,us1000azhz,2018-01-24T01:25:02.040Z,"108km E of Tadine, New Caledonia",earthquake,5.4,1.8,0.06,89,reviewed,us,us
2017-10-31T23:58:36.660Z,38.8376667,-122.8391667,2.46,1.85,md,45,62,0.003018,0.05,nc,nc72916881,2017-11-08T00:02:02.639Z,"9km NW of The Geysers, California",earthquake,0.18,0.25,0.25,17,reviewed,nc,nc
2017-10-31T23:58:00.780Z,19.3823333,-155.2388333,3.06,1.46,md,24,82,0.008879,0.07,hv,hv61962821,2017-11-01T23:40:56.410Z,"5km S of Volcano, Hawaii",earthquake,0.19,0.2,0.085,8,reviewed,hv,hv
2017-10-31T23:57:56.240Z,36.0805,-120.64,2.14,0.72,md,12,175,0.03737,0.03,nc,nc72916886,2017-11-02T23:13:02.703Z,"26km WSW of Coalinga, California",earthquake,1.1,2.53,0.022,4,reviewed,nc,nc
2017-10-31T23:51:30.000Z,32.6743333,-115.6568333,13.56,2.73,ml,59,71,0.09305,0.26,ci,ci38034304,2017-12-07T01:15:09.436Z,"12km NNW of Progreso, B.C., MX",earthquake,0.28,0.5,0.249,25,reviewed,ci,ci
2017-10-31T23:48:43.378Z,59.4391,-151.6104,47.5,2.3,ml,,,,0.52,ak,ak17134702,2017-11-03T10:14:46.278Z,"22km S of Homer, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-10-31T23:48:41.890Z,19.4151669,-155.2606659,3.21,1.91,md,22,91,0.003153,0.15,hv,hv61962791,2017-10-31T23:51:52.670Z,"2km SW of Volcano, Hawaii",earthquake,0.26,0.3,0.33,18,automatic,hv,hv
2017-10-31T23:35:06.310Z,38.8095016,-122.7881699,2.52,0.75,md,7,77,0.00578,0.01,nc,nc72916871,2017-11-01T00:07:03.955Z,"4km NW of The Geysers, California",earthquake,0.55,1.47,0.16,2,automatic,nc,nc
2017-10-31T23:30:23.440Z,35.0498333,-117.673,-0.82,1.55,ml,14,156,0.1168,0.22,ci,ci38034288,2017-11-09T23:01:32.311Z,"6km NNW of Boron, CA",quarry blast,0.94,31.61,0.197,36,reviewed,ci,ci
2017-10-31T23:28:32.072Z,60.0444,-153.0591,109.1,1.8,ml,,,,0.39,ak,ak17134697,2017-11-03T10:14:45.793Z,"52km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,reviewed,ak,ak
